X_differece_V (unit),Y_differece_V (unit),Z_differece_V (unit),X_differece_P (unit),Y_differece_P (unit),Z_differece_P (unit),,,,,,,,,,,,
-0.4786,0.006641,0.5641,-0.5698,0.02728,0.55,0.22905796,4.41E-05,0.31820881,0.32467204,0.000744198,0.3025,,,,,,
-0.5036,0.006641,0.5641,-0.5948,0.02728,0.55,0.25361296,4.41E-05,0.31820881,0.35378704,0.000744198,0.3025,,,,,,
-0.5286,0.006641,0.5641,-0.6198,0.02728,0.55,0.27941796,4.41E-05,0.31820881,0.38415204,0.000744198,0.3025,,,,,,
-0.5286,0.006641,0.5641,-0.5161,-0.00004234,0.55,0.27941796,4.41E-05,0.31820881,0.26635921,1.79E-09,0.3025,,,,,,
-0.4702,0.006641,0.5269,-0.5161,-0.00004234,0.55,0.22108804,4.41E-05,0.27762361,0.26635921,1.79E-09,0.3025,,,,,,
-0.4952,0.006641,0.5269,-0.5411,-0.00004234,0.55,0.24522304,4.41E-05,0.27762361,0.29278921,1.79E-09,0.3025,,,,,,
-0.4952,-0.01836,0.5269,-0.5411,-0.02504,0.55,0.24522304,0.00033709,0.27762361,0.29278921,0.000627002,0.3025,,,,,,
-0.5202,-0.01836,0.5269,-0.5661,-0.02504,0.55,0.27060804,0.00033709,0.27762361,0.32046921,0.000627002,0.3025,,,,,,
-0.4558,-0.01836,0.5269,-0.5661,-0.02504,0.55,0.20775364,0.00033709,0.27762361,0.32046921,0.000627002,0.3025,,,,,,
-0.4558,-0.01836,0.5269,-0.5071,0.05,0.5293,0.20775364,0.00033709,0.27762361,0.25715041,0.0025,0.28015849,,,,,,
-0.4558,-0.04336,0.5269,-0.5071,0.025,0.5293,0.20775364,0.00188009,0.27762361,0.25715041,0.000625,0.28015849,,,,,,
-0.4343,0.002397,0.5211,-0.5071,0.025,0.5293,0.18861649,5.75E-06,0.27154521,0.25715041,0.000625,0.28015849,,,,,,
-0.4593,0.002397,0.5211,-0.5321,0.025,0.5293,0.21095649,5.75E-06,0.27154521,0.28313041,0.000625,0.28015849,,,,,,
-0.4593,-0.0226,0.5211,-0.5321,7.45E-10,0.5293,0.21095649,0.00051076,0.27154521,0.28313041,5.55E-19,0.28015849,,,,,,
-0.4843,-0.0476,0.5211,-0.5571,-0.025,0.5293,0.23454649,0.00226576,0.27154521,0.31036041,0.000625,0.28015849,,,,,,
-0.5666,-0.02523,0.5211,-0.5571,-0.025,0.5293,0.32103556,0.000636553,0.27154521,0.31036041,0.000625,0.28015849,,,,,,
-0.5666,-0.05023,0.5211,-0.4684,-0.04422,0.55,0.32103556,0.002523053,0.27154521,0.21939856,0.001955408,0.3025,,,,,,
-0.5344,-0.02134,0.5211,-0.4684,-0.06922,0.55,0.28558336,0.000455396,0.27154521,0.21939856,0.004791408,0.3025,,,,,,
-0.5344,-0.02134,0.5211,-0.5397,-0.03587,0.55,0.28558336,0.000455396,0.27154521,0.29127609,0.001286657,0.3025,,,,,,
-0.5344,0.00611,0.5211,-0.5397,-0.03587,0.55,0.28558336,3.73E-05,0.27154521,0.29127609,0.001286657,0.3025,,,,,,
-0.5344,-0.01889,0.5211,-0.5397,-0.06087,0.55,0.28558336,0.000356832,0.27154521,0.29127609,0.003705157,0.3025,,,,,,
-0.5344,-0.04389,0.5211,-0.456,-0.01639,0.55,0.28558336,0.001926332,0.27154521,0.207936,0.000268632,0.3025,,,,,,
-0.5344,-0.01745,0.5211,-0.456,-0.01639,0.55,0.28558336,0.000304503,0.27154521,0.207936,0.000268632,0.3025,,,,,,
-0.5094,-0.01745,0.5211,-0.431,-0.01639,0.55,0.25948836,0.000304503,0.27154521,0.185761,0.000268632,0.3025,,,,,,
-0.4295,-0.01907,0.5641,-0.431,-0.04139,0.55,0.18447025,0.000363665,0.31820881,0.185761,0.001713132,0.3025,,,,,,
-0.4295,-0.01907,0.5641,-0.4786,-0.00582,0.55,0.18447025,0.000363665,0.31820881,0.22905796,3.39E-05,0.3025,,,,,,
-0.4045,-0.01907,0.5641,-0.4536,-0.00582,0.55,0.16362025,0.000363665,0.31820881,0.20575296,3.39E-05,0.3025,,,,,,
-0.3795,-0.01907,0.5641,-0.4286,-0.00582,0.55,0.14402025,0.000363665,0.31820881,0.18369796,3.39E-05,0.3025,,,,,,
-0.4022,-0.09329,0.5122,-0.4286,-0.00582,0.55,0.16176484,0.008703024,0.26234884,0.18369796,3.39E-05,0.3025,,,,,,
-0.3772,-0.09329,0.5122,-0.4992,0.02044,0.55,0.14227984,0.008703024,0.26234884,0.24920064,0.000417794,0.3025,,,,,,
-0.3772,-0.09329,0.5122,-0.466,-0.05,0.5228,0.14227984,0.008703024,0.26234884,0.217156,0.0025,0.27331984,,,,,,
-0.4142,-0.09329,0.5122,-0.441,-0.05,0.5228,0.17156164,0.008703024,0.26234884,0.194481,0.0025,0.27331984,,,,,,
-0.4142,-0.06829,0.5122,-0.441,-0.025,0.5228,0.17156164,0.004663524,0.26234884,0.194481,0.000625,0.27331984,,,,,,
-0.3892,-0.06829,0.5122,-0.416,-0.025,0.5228,0.15147664,0.004663524,0.26234884,0.173056,0.000625,0.27331984,,,,,,
-0.3892,-0.04329,0.5122,-0.416,-7.45E-10,0.5228,0.15147664,0.001874024,0.26234884,0.173056,5.55E-19,0.27331984,,,,,,
-0.4524,-0.07075,0.5211,-0.5069,0.0134,0.55,0.20466576,0.005005563,0.27154521,0.25694761,0.00017956,0.3025,,,,,,
-0.4524,-0.02075,0.5211,-0.5114,0.04663,0.55,0.20466576,0.000430563,0.27154521,0.26152996,0.002174357,0.3025,,,,,,
-0.4274,-0.02075,0.5211,-0.4864,0.04663,0.55,0.18267076,0.000430563,0.27154521,0.23658496,0.002174357,0.3025,,,,,,
-0.4274,0.004254,0.5211,-0.4864,0.07163,0.55,0.18267076,1.81E-05,0.27154521,0.23658496,0.005130857,0.3025,,,,,,
-0.4274,0.004254,0.5211,-0.45,0.04405,0.5481,0.18267076,1.81E-05,0.27154521,0.2025,0.001940403,0.30041361,,,,,,
-0.4274,0.02925,0.5211,-0.45,0.06905,0.5481,0.18267076,0.000855563,0.27154521,0.2025,0.004767903,0.30041361,,,,,,
-0.4536,0.0262,0.538,-0.5028,-0.02892,0.55,0.20575296,0.00068644,0.289444,0.25280784,0.000836366,0.3025,,,,,,
-0.4536,0.0512,0.538,-0.5028,-0.00392,0.55,0.20575296,0.00262144,0.289444,0.25280784,1.54E-05,0.3025,,,,,,
-0.4536,0.002397,0.5641,-0.5028,-0.00392,0.55,0.20575296,5.75E-06,0.31820881,0.25280784,1.54E-05,0.3025,,,,,,
-0.4786,0.0274,0.5641,-0.5278,0.02108,0.55,0.22905796,0.00075076,0.31820881,0.27857284,0.000444366,0.3025,,,,,,
-0.4786,0.0274,0.5641,-0.4642,-0.009954,0.55,0.22905796,0.00075076,0.31820881,0.21548164,9.91E-05,0.3025,,,,,,
-0.5036,0.0274,0.5641,-0.4892,-0.009954,0.55,0.25361296,0.00075076,0.31820881,0.23931664,9.91E-05,0.3025,,,,,,
-0.5286,0.0274,0.5641,-0.5142,-0.009954,0.55,0.27941796,0.00075076,0.31820881,0.26440164,9.91E-05,0.3025,,,,,,
-0.4714,0.005027,0.5211,-0.5142,-0.009954,0.55,0.22221796,2.53E-05,0.27154521,0.26440164,9.91E-05,0.3025,,,,,,
-0.4964,0.03003,0.5211,-0.5392,0.01505,0.55,0.24641296,0.000901801,0.27154521,0.29073664,0.000226503,0.3025,,,,,,
-0.4558,0.006641,0.5269,-0.5642,0.01505,0.55,0.20775364,4.41E-05,0.27762361,0.31832164,0.000226503,0.3025,,,,,,
-0.4808,0.006641,0.5269,-0.5892,0.01505,0.55,0.23116864,4.41E-05,0.27762361,0.34715664,0.000226503,0.3025,,,,,,
-0.4176,0.006641,0.5641,-0.5892,0.01505,0.55,0.17438976,4.41E-05,0.31820881,0.34715664,0.000226503,0.3025,,,,,,
-0.4426,0.006641,0.5641,-0.6142,0.01505,0.55,0.19589476,4.41E-05,0.31820881,0.37724164,0.000226503,0.3025,,,,,,
-0.4426,-0.01836,0.5641,-0.6142,-0.009954,0.55,0.19589476,0.00033709,0.31820881,0.37724164,9.91E-05,0.3025,,,,,,
-0.4676,-0.04336,0.5641,-0.6392,-0.03495,0.55,0.21864976,0.00188009,0.31820881,0.40857664,0.001221503,0.3025,,,,,,
-0.4223,0.002397,0.5641,-0.6392,-0.03495,0.55,0.17833729,5.75E-06,0.31820881,0.40857664,0.001221503,0.3025,,,,,,
-0.4223,-0.0226,0.5641,-0.6392,-0.05995,0.55,0.17833729,0.00051076,0.31820881,0.40857664,0.003594003,0.3025,,,,,,
-0.4473,-0.0476,0.5641,-0.6642,-0.08495,0.55,0.20007729,0.00226576,0.31820881,0.44116164,0.007216503,0.3025,,,,,,
-0.5176,0.003237,0.5211,-0.6642,-0.08495,0.55,0.26790976,1.05E-05,0.27154521,0.44116164,0.007216503,0.3025,,,,,,
-0.5176,-0.02176,0.5211,-0.6642,-0.11,0.55,0.26790976,0.000473498,0.27154521,0.44116164,0.0121,0.3025,,,,,,
-0.5176,0.00569,0.5211,-0.6642,-0.11,0.55,0.26790976,3.24E-05,0.27154521,0.44116164,0.0121,0.3025,,,,,,
-0.5176,-0.01931,0.5211,-0.6642,-0.135,0.55,0.26790976,0.000372876,0.27154521,0.44116164,0.018225,0.3025,,,,,,
-0.5176,0.008144,0.5211,-0.6642,-0.135,0.55,0.26790976,6.63E-05,0.27154521,0.44116164,0.018225,0.3025,,,,,,
-0.4926,0.008144,0.5211,-0.4944,0.006795,0.55,0.24265476,6.63E-05,0.27154521,0.24443136,4.62E-05,0.3025,,,,,,
-0.4926,-0.01686,0.5211,-0.4944,-0.01821,0.55,0.24265476,0.00028426,0.27154521,0.24443136,0.000331604,0.3025,,,,,,
-0.4676,-0.01686,0.5211,-0.4694,-0.01821,0.55,0.21864976,0.00028426,0.27154521,0.22033636,0.000331604,0.3025,,,,,,
-0.4426,-0.01686,0.5211,-0.4444,-0.01821,0.55,0.19589476,0.00028426,0.27154521,0.19749136,0.000331604,0.3025,,,,,,
-0.476,-0.01787,0.5211,-0.4444,-0.01821,0.55,0.226576,0.000319337,0.27154521,0.19749136,0.000331604,0.3025,,,,,,
-0.451,-0.01787,0.5211,-0.4194,-0.01821,0.55,0.203401,0.000319337,0.27154521,0.17589636,0.000331604,0.3025,,,,,,
-0.451,-0.04287,0.5211,-0.4194,-0.04321,0.55,0.203401,0.001837837,0.27154521,0.17589636,0.001867104,0.3025,,,,,,
-0.4081,-0.09575,0.5211,-0.3944,-0.04321,0.55,0.16654561,0.009168063,0.27154521,0.15555136,0.001867104,0.3025,,,,,,
-0.3831,-0.09575,0.5211,-0.3694,-0.04321,0.55,0.14676561,0.009168063,0.27154521,0.13645636,0.001867104,0.3025,,,,,,
-0.3581,-0.09575,0.5211,-0.3444,-0.04321,0.55,0.12823561,0.009168063,0.27154521,0.11861136,0.001867104,0.3025,,,,,,
-0.4166,-0.09575,0.5211,-0.3444,-0.04321,0.55,0.17355556,0.009168063,0.27154521,0.11861136,0.001867104,0.3025,,,,,,
-0.4166,-0.09575,0.5211,-0.4644,0.0004789,0.55,0.17355556,0.009168063,0.27154521,0.21566736,2.29E-07,0.3025,,,,,,
-0.3916,-0.09575,0.5211,-0.4802,-0.0185,0.55,0.15335056,0.009168063,0.27154521,0.23059204,0.00034225,0.3025,,,,,,
-0.4524,-0.09575,0.5211,-0.4802,-0.0185,0.55,0.20466576,0.009168063,0.27154521,0.23059204,0.00034225,0.3025,,,,,,
-0.4274,-0.07075,0.5211,-0.4327,0.04132,0.55,0.18267076,0.005005563,0.27154521,0.18722929,0.001707342,0.3025,,,,,,
-0.4274,-0.07075,0.5211,-0.5437,-0.006355,0.55,0.18267076,0.005005563,0.27154521,0.29560969,4.04E-05,0.3025,,,,,,
-0.4274,-0.07075,0.5211,-0.45,0.03619,0.5039,0.18267076,0.005005563,0.27154521,0.2025,0.001309716,0.25391521,,,,,,
-0.4274,-0.04575,0.5211,-0.5085,-0.00812,0.55,0.18267076,0.002093063,0.27154521,0.25857225,6.59E-05,0.3025,,,,,,
-0.4536,0.02543,0.538,-0.4968,-0.03708,0.55,0.20575296,0.000646685,0.289444,0.24681024,0.001374926,0.3025,,,,,,
-0.4286,0.05043,0.538,-0.5212,0.004803,0.55,0.18369796,0.002543185,0.289444,0.27164944,2.31E-05,0.3025,,,,,,
-0.4286,0.07543,0.538,-0.5212,0.0298,0.55,0.18369796,0.005689685,0.289444,0.27164944,0.00088804,0.3025,,,,,,
-0.4286,0.07543,0.538,-0.518,0.0144,0.55,0.18369796,0.005689685,0.289444,0.268324,0.00020736,0.3025,,,,,,
-0.4286,0.1004,0.538,-0.518,0.0394,0.55,0.18369796,0.01008016,0.289444,0.268324,0.00155236,0.3025,,,,,,
-0.4549,0.05222,0.5211,-0.5289,0.05111,0.55,0.20693401,0.002726928,0.27154521,0.27973521,0.002612232,0.3025,,,,,,
-0.4549,0.07722,0.5211,-0.5289,0.07611,0.55,0.20693401,0.005962928,0.27154521,0.27973521,0.005792732,0.3025,,,,,,
-0.4549,0.07722,0.5211,-0.4513,-0.03672,0.55,0.20693401,0.005962928,0.27154521,0.20367169,0.001348358,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.4513,-0.03672,0.55,0.20693401,2.53E-05,0.31820881,0.20367169,0.001348358,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.545,0.01886,0.55,0.20693401,2.53E-05,0.31820881,0.297025,0.0003557,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.4967,0.01033,0.55,0.20693401,2.53E-05,0.31820881,0.24671089,0.000106709,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.45,-0.01461,0.4969,0.20693401,2.53E-05,0.31820881,0.2025,0.000213452,0.24690961,,,,,,
-0.4549,0.005027,0.5641,-0.523,-0.007462,0.55,0.20693401,2.53E-05,0.31820881,0.273529,5.57E-05,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5345,0.005611,0.55,0.20693401,2.53E-05,0.31820881,0.28569025,3.15E-05,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5288,-0.02853,0.55,0.20693401,2.53E-05,0.31820881,0.27962944,0.000813961,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.4601,-0.03948,0.55,0.20693401,2.53E-05,0.31820881,0.21169201,0.00155867,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5061,0.01209,0.55,0.20693401,2.53E-05,0.31820881,0.25613721,0.000146168,0.3025,,,,,,
-0.4549,0.005027,0.5641,-0.5079,0.02203,0.55,0.20693401,2.53E-05,0.31820881,0.25796241,0.000485321,0.3025,,,,,,
